instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,label
77556160,9575,257517,215949,0,0,0,8,147456,4,0,3596349,4524778,1
32981037,16800,797990,140417,2,0,0,0,0,0,0,0,0,1
11049222,5302,204689,55819,0,0,0,0,0,0,0,0,0,1
4968323,5252,188982,34310,0,0,0,0,0,0,0,0,0,1
15314480,11345,601098,112428,0,0,0,0,0,0,0,0,0,1
7059786,7110,370531,86466,2,0,0,0,0,0,0,0,0,1
19475025,8149,451248,76678,0,0,0,0,0,0,0,0,0,1
2314515,2788,273546,54665,0,0,0,0,0,0,0,0,0,1
42232964,254,15318,3813,0,0,0,0,0,0,0,0,0,1
22808845,386,22814,5812,0,0,0,0,0,0,0,0,0,1
125243,849,36774,23933,0,0,0,0,0,0,0,0,0,1
30987,381,8206,1234,0,0,0,2,59392,0,0,8906411,0,1
51058,0,4969,512,0,20,447488,0,0,0,1880752,0,0,1
28405,122,5049,1180,0,8,134144,0,0,0,595974,0,0,1
28412,0,7352,518,0,40,346624,0,0,0,3699729,0,0,1
54435,0,4378,568,0,94,1738240,2,8192,0,9382948,4515137,0,1
28402,110,4622,1175,0,75,798720,0,0,0,2897726,0,0,1
28402,0,6363,547,0,12,49152,0,0,0,726623,0,0,1
1315831,128,4625,533,0,18,709632,0,0,0,1352649,0,0,1
7574446,3938,5067,14830,0,55,1617920,0,0,0,4215750,0,0,1
1052752,2480,195827,35232,1,65,266240,0,0,0,4315603,0,0,1
173335,804,132964,10171,0,10,40960,0,0,0,861209,0,0,1
34023,7,12901,3657,1,58,1804288,2,8192,0,14836565,6417292,0,1
28411,0,17105,546,0,86,2214912,0,0,0,6259006,0,0,1
3722245,2302,4527,568,0,70,315392,0,0,0,3218034,0,0,1
20042461,2788,41440,36143,0,47,192512,0,0,0,2813287,0,0,1
60330279,0,181302,18920,0,48,196608,0,0,0,2853026,0,0,1
15060314,11434,74495,738,0,81,331776,0,0,0,4202365,0,0,1
29217453,5697,96010,9593,0,127,577536,0,0,0,5495087,0,0,1
17054376,12164,4941,522,0,87,496128,0,0,0,4360593,0,0,1
20145878,12145,4425,5083,2,95,529920,0,0,0,4833093,0,0,1
11091562,7293,188800,59595,1,145,945664,0,0,0,5903437,0,0,1
1045450,4226,361331,132212,1,68,570880,0,0,0,3920970,0,0,1
28813,535,532361,150851,0,101,1074688,0,0,0,5294847,0,0,1
30576,0,687308,114759,0,102,966144,0,0,0,5134594,0,0,1
51368,1,632831,91020,0,109,953344,0,0,0,5064984,0,0,1
30990,182,309150,17356,0,66,468992,0,0,0,4090780,0,0,1
28414,0,17437,529,0,87,392192,0,0,0,4022355,0,0,1
68474,167,4650,575,0,114,526848,0,0,0,4679413,0,0,1
7411468,0,7958,1294,0,105,450560,0,0,0,4470221,0,0,1
10894263,2516,4783,519,0,71,577536,0,0,0,3867960,0,0,1
10774504,7126,4491,522,1,108,442368,0,0,0,4348034,0,0,1
12684402,7176,9634,4263,0,108,442368,0,0,0,4717738,0,0,1
12670426,6186,6997,515,0,115,1024512,0,0,0,4795181,0,0,1
5179140,3543,139685,29193,0,52,206848,0,0,0,3305843,0,0,1
5522574,3794,214558,46381,0,83,377344,0,0,0,5627151,0,0,1
5008217,5433,344997,96092,0,110,450560,0,0,0,5357282,0,0,1
8917752,4237,480177,107780,4,110,450560,0,0,0,5016731,0,0,1
6193007,9896,302247,60099,0,63,258048,0,0,0,3149942,0,0,1
15921961,7364,290271,11034,0,40,163840,15,1523712,0,2213463,10547801,0,1
20562413,4609,385731,71350,4,29,274432,5,20480,0,39636715,38123568,0,1
15538112,8031,421251,117021,2,44,270336,0,0,0,3546338,0,0,1
