,instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,Label
5661,69907324,19516,80741,278752,0,0,0,0,0,0,0,0,0,0
5704,74805867,4991,10494,588746,4,0,0,0,0,0,0,0,0,0
2903,35365715,20419,123211,95047,0,75,307200,0,0,0,6794522,0,0,1
402,31182312,39462,1428933,143903,0,24,1001472,75,8067072,0,84839151,301843322,0,1
4982,78353686,15419,28910,543045,7,0,0,0,0,0,0,0,0,0
2342,38218357,45082,319996,129454,1,32,131072,12,1380352,0,2756242,8051183,0,1
91,29948120,39013,1153649,114724,0,34,139264,1,28672,0,8485461,3813764,0,1
2052,46570078,34356,1009582,117854,0,9,42496,50,5458944,0,44808049,350342656,0,1
508,42250370,17267,1397745,148573,7,2,8192,22,2341888,0,26733528,267220678,0,1
3768,76006761,568,3145,380500,0,0,0,0,0,0,0,0,0,0
2671,22227427,11881,973205,115401,2,3,12288,1,4096,0,326701,124005,0,1
1160,55242715,23961,539067,53922,0,5,462336,67,5638144,0,85045020,534128674,0,1
2873,17751866,20287,568046,72786,7,17,69632,85,3339776,0,38621075,223406722,0,1
3595,64616620,194,3396,552981,0,0,0,0,0,0,0,0,0,0
2351,38981156,27905,942145,131670,9,41,164864,0,0,0,3531578,0,0,1
3142,85301593,757,19270,184126,0,0,0,0,0,0,0,0,0,0
2840,56657630,21362,261854,104015,1,70,286720,0,0,0,5124956,0,0,1
2730,24465635,20644,710629,92292,2,0,0,0,0,0,0,0,0,1
4837,74898457,3404,12695,570727,0,0,0,0,0,0,0,0,0,0
2493,30154862,32756,743655,124806,2,25,102400,0,0,0,1888225,0,0,1
5253,73592096,797,31800,380609,0,0,0,0,0,0,0,0,0,0
1150,71668253,27045,705072,54393,0,15,1635840,56,4367872,0,66448893,233928472,0,1
2737,48540547,5057,1151978,83111,2,0,0,0,0,0,0,0,0,1
3535,80122843,524,3705,281551,0,0,0,0,0,0,0,0,0,0
1845,113831404,25195,867221,90688,1,29,1043456,5,20480,0,3652680,7493370,0,1
5311,52888002,5605,4758,469278,0,0,0,0,0,0,0,0,0,0
406,20974346,42181,1472707,153683,4,71,2464768,0,0,0,4900080,0,0,1
2658,43915391,29615,366447,68561,0,0,0,72,2103296,0,0,169520448,0,1
2718,52514893,32393,193580,65087,16,14,57344,1,4096,0,1347221,1876993,0,1
2323,38987077,33915,772177,139236,2,30,122880,0,0,0,3148172,0,0,1
2502,32688957,2888,748478,103035,2,30,322048,0,0,0,3447960,0,0,1
444,11435276,47913,1479601,117307,2,84,5408768,0,0,0,6427734,0,0,1
5198,82659825,19113,43383,292188,0,0,0,0,0,0,0,0,0,0
3314,98738668,131,3762,150512,0,0,0,0,0,0,0,0,0,0
4892,62208995,2624,13178,307231,0,0,0,0,0,0,0,0,0,0
3973,68987442,221,9633,466952,0,0,0,0,0,0,0,0,0,0
4918,57263298,409,63550,459977,0,0,0,0,0,0,0,0,0,0
5470,58932955,291,7794,412284,0,0,0,25,3145728,0,0,85320353,0,0
4073,83771251,1898,64400,214389,0,0,0,0,0,0,0,0,0,0
4097,85776713,992,3627,240456,0,0,0,0,0,0,0,0,0,0
5395,72087176,832,3440,469373,0,0,0,0,0,0,0,0,0,0
125,14201299,22420,1051180,126104,1,91,372736,0,0,0,4832184,0,0,1
3250,103755468,817,3536,108952,1,0,0,0,0,0,0,0,0,0
4785,74761304,13844,4954,331649,0,0,0,0,0,0,0,0,0,0
685,23806347,40651,1331819,139002,103,29,1362432,33,1011712,1,56751988,143774982,316518,1
4312,66138244,4099,3429,630426,1,0,0,10,1310720,0,0,625015962,0,0
5105,76540888,5707,7432,771352,0,0,0,8,1048576,0,0,123935891,0,0
364,22706198,37737,1469546,43172,1,49,1829888,0,0,0,3801417,0,0,1
1563,72164509,33145,925585,150410,1,48,4176896,0,0,0,4754247,0,0,1
3376,85877779,6281,8782,358609,0,0,0,0,0,0,0,0,0,0
4368,70532458,181,27130,536296,0,0,0,0,0,0,0,0,0,0
4444,57929421,968,3640,354390,0,0,0,0,0,0,0,0,0,0
2579,25994750,27182,425775,141846,1,1,4096,3,12288,0,116243,835394,0,1
5047,68175985,12906,30854,532948,0,0,0,0,0,0,0,0,0,0
2602,72673754,30991,447437,82177,3,0,0,38,1396736,1,0,19825681,1271181,1
772,24585886,33368,1136133,58476,3,20,2314752,33,2457600,0,87155008,203976980,0,1
3499,76477052,1093,12685,363782,0,0,0,0,0,0,0,0,0,0
3491,70252989,7598,70660,333133,0,0,0,0,0,0,0,0,0,0
5090,60059373,5648,45159,711676,0,0,0,10,1310720,0,0,46304860,0,0
1925,25170513,7888,24539,7399,0,0,0,74,6089728,0,0,430108665,0,1
4408,69072231,84,23376,549430,0,0,0,0,0,0,0,0,0,0
2507,90657825,19690,834202,102425,0,33,132096,0,0,0,2799566,0,0,1
3546,75821178,142,3341,368243,0,0,0,0,0,0,0,0,0,0
3757,64870806,145,3532,426645,2,0,0,0,0,0,0,0,0,0
4760,71371033,624,43441,185957,0,0,0,0,0,0,0,0,0,0
1879,6936135,22608,23828,117364,2,14,1143296,53,5121536,0,76901297,381221793,0,1
3151,87678105,5439,3732,211638,0,0,0,0,0,0,0,0,0,0
487,69209212,42807,1357034,137125,6,55,393216,4,16384,0,8720560,6351095,0,1
2603,69513822,26036,485653,33258,2,0,0,59,925696,0,0,15191099,0,1
2548,33654180,28411,598756,90808,4,9,36864,0,0,0,862282,0,0,1
5454,34575898,5620,3322,404719,2,0,0,23,3014656,0,0,40077795,0,0
1019,36337776,23028,939584,68563,0,54,3925504,0,0,0,4692120,0,0,1
2064,40743102,20721,1371131,59551,3,45,175104,12,843776,0,3814061,3313971,0,1
975,61240884,21654,233406,98914,1,35,2756608,0,0,0,3371758,0,0,1
4498,66697176,6377,3517,413937,0,0,0,0,0,0,0,0,0,0
375,33977462,36679,1385238,162626,1,44,1702912,21,696320,1,15121827,22170828,1658085,1
979,42769866,17239,196083,46935,0,53,3629568,0,0,0,8096060,0,0,1
4549,64736637,376,3247,360284,0,0,0,0,0,0,0,0,0,0
2501,27822137,27077,664683,131839,2,31,126976,0,0,0,2896064,0,0,1
3981,87133913,12989,90566,220703,0,0,0,0,0,0,0,0,0,0
41,10774504,7126,4491,522,1,108,442368,0,0,0,4348034,0,0,1
5852,67882185,3336,8747,640749,0,0,0,0,0,0,0,0,0,0
843,48182597,25902,510680,156527,3,0,0,98,9353216,0,0,53787048,0,1
465,30854901,36732,1683533,84530,2,55,1874944,0,0,0,4695943,0,0,1
4648,73730263,6011,12998,306008,1,0,0,0,0,0,0,0,0,0
4795,80094917,19630,4866,430117,0,0,0,0,0,0,0,0,0,0
1989,24156085,3505,1031100,140622,7,24,274432,1,4096,0,1380834,40100,0,1
2133,7213545,27771,909200,91931,0,37,1338880,0,0,0,8388818,0,0,1
1097,71573550,22336,545533,81445,1,6,167424,44,4887040,0,36479440,470980537,0,1
1890,18006808,28452,149216,95739,0,35,2171904,5,49152,0,16000138,10711178,0,1
839,22933419,17127,714218,129702,2,15,1516544,60,4628480,1,27501148,252163597,11495820,1
3482,61138512,4604,56721,523666,0,0,0,0,0,0,0,0,0,0
